Order;Distance;StartWayPointName;StartLat;StartLng;EndWayPointName;EndLat;EndLng;Description
1;7;Rajt;46,948072;17,872582;Aszófő;46,922545;17,825171;
2;4,6;Aszófő;46,922545;17,825171;Fövenyes;46,89476;17,789522;SYNERGY CONSTRUCTION
3;4,5;Fövenyes;46,89476;17,789522;Balatonalakli;46,881709;17,754247;GLS
4;3,3;Balatonalakli;46,881709;17,754247;Zánka Erzsébet-tábor;46,880952;17,710369;WABERER'S
5;2,9;Zánka Erzsébet-tábor;46,880952;17,710369;Zánka;46,870634;17,686058;
6;3,7;Zánka;46,870634;17,686058;Balatonszepezd;46,849827;17,659442;PENNY
7;3,2;Balatonszepezd;46,849827;17,659442;Révfülöp kelet;46,829472;17,638454;
8;1,9;Révfülöp kelet;46,829472;17,638454;Révfülöp nyugat;46,823165;17,618855;MARKET
9;5,2;Révfülöp nyugat;46,823165;17,618855;Ábrahámhegy ;46,813868;17,571131;DATAPAO
10;3,2;Ábrahámhegy ;46,813868;17,571131;Badacsonyörs Varga pincészet;46,805807;17,536129;MEDVE SAJT
11;5,1;Badacsonyörs Varga pincészet;46,805807;17,536129;Badacsony;46,78847;17,499855;VARGA PINCÉSZET
12;4,3;Badacsony;46,78847;17,499855;Badacsonytördemic;46,807795;17,465712;LAPOSA BORÁSZAT
13;2,9;Badacsonytördemic;46,807795;17,465712;Szigliget;46,807566;17,433383;ORBICO
14;5;Szigliget;46,807566;17,433383;Balatonederics;46,791154;17,380453;NEMZETI FILMINTÉZET
15;2,6;Balatonederics;46,791154;17,380453;Balatongyörök kelet;46,770748;17,363017;
16;2,8;Balatongyörök kelet;46,770748;17,363017;Balatongyörök nyugat;46,749808;17,351301;NN BIZTOSÍTÓ
17;3,4;Balatongyörök nyugat;46,749808;17,351301;Vonyarcvashegy kelet;46,754723;17,311795;MVM
18;2,6;Vonyarcvashegy kelet;46,754723;17,311795;Gyenesdiás;46,76304;17,290668;
19;1,7;Gyenesdiás;46,76304;17,290668;Keszthely kelet;46,766332;17,269674;OTP-ÖKOSZISZTÉMA
20;3,1;Keszthely kelet;46,766332;17,269674;Keszthely nyugat;46,750992;17,245619;UNITED SHIPPING
21;4,8;Keszthely nyugat;46,750992;17,245619;Fenékpuszta;46,711031;17,246758;
22;4,3;Fenékpuszta;46,711031;17,246758;Balatonberény nyugat;46,705724;17,289725;MIZUNO
23;2,9;Balatonberény nyugat;46,705724;17,289725;Balatonberény kelet;46,714315;17,322966;SALLAI ZSUZSANNA EMLÉKSZAKASZ
24;4;Balatonberény kelet;46,714315;17,322966;Balatonmáriafürdő nyugat;46,706872;17,370829;SYNLAB
25;5,2;Balatonmáriafürdő nyugat;46,706872;17,370829;Balatonmáriafürdő kelet;46,705592;17,434778;TARR
26;1,7;Balatonmáriafürdő kelet;46,705592;17,434778;Balatonfenyves nyugat;46,708685;17,454778;
27;1,8;Balatonfenyves nyugat;46,708685;17,454778;Balatonfenyves kelet;46,712872;17,476345;HENKEL
28;4,6;Balatonfenyves kelet;46,712872;17,476345;Alsóbélatelep;46,730021;17,528842;SH BETON
29;3,3;Alsóbélatelep;46,730021;17,528842;Fonyód;46,749985;17,556417;
30;3,2;Fonyód;46,749985;17,556417;Fonyódliget;46,759594;17,592703;NN BIZTOSÍTÓ
31;5,3;Fonyódliget;46,759594;17,592703;Balatonboglár nyugat;46,779841;17,650214;THEODORA
32;0,9;Balatonboglár nyugat;46,779841;17,650214;Balatohboglár kelet;46,781836;17,658964;TOYOTA
33;3,2;Balatohboglár kelet;46,781836;17,658964;Balatonlelle nyugat;46,789924;17,696347;
34;2;Balatonlelle nyugat;46,789924;17,696347;Balatonlelle kelet;46,794618;17,719209;OTP  
35;5,2;Balatonlelle kelet;46,794618;17,719209;Balatonszemes;46,811094;17,775858;
36;2,1;Balatonszemes;46,811094;17,775858;Balatonőszöd;46,821159;17,795912;CSEVAPIO BALKÁN ÉTTEREM
37;2,9;Balatonőszöd;46,821159;17,795912;Balatonszárszó;46,821159;17,82829;UNIVER
38;3,5;Balatonszárszó;46,821159;17,82829;Balatonföldvár nyugat;46,847694;17,86689;
39;2,1;Balatonföldvár nyugat;46,847694;17,86689;Balatonföldvár kelet;46,857885;17,889048;PANNON EGYETEM
40;2,2;Balatonföldvár kelet;46,857885;17,889048;Szántód;46,871545;17,904766;MOGYI
41;2,9;Szántód;46,871545;17,904766;Zamárdi;46,884596;17,929134;HEGYVIDÉK SPORT
42;5,3;Zamárdi;46,884596;17,929134;Balatonszéplak;46,894159;17,99204;KOMÉTA
43;2,2;Balatonszéplak;46,894159;17,99204;Siófok nyugat;46,901239;18,017036;SILVER TOJÁS
44;3,3;Siófok nyugat;46,901239;18,017036;Siófok kampusz;46,910031;18,048028;
45;2,8;Siófok kampusz;46,910031;18,048028;Siófok kelet;46,919821;18,081021;DEBRECENI EGYETEM
46;4,5;Siófok kelet;46,919821;18,081021;Siófok-Sóstó;46,939584;18,128584;ECOFAMILY
47;2,6;Siófok-Sóstó;46,939584;18,128584;Balatonvilágos nyugat;46,955417;18,149665;DL
48;2,9;Balatonvilágos nyugat;46,955417;18,149665;Balatonvilágos kelet;46,976492;18,169036;SOTE
49;5;Balatonvilágos kelet;46,976492;18,169036;Balatonakarattya;47,015498;18,166561;MCDONALD'S
50;6;Balatonakarattya;47,015498;18,166561;Balatonkenese;47,032495;18,114859;LINDE GÁZ
51;5,5;Balatonkenese;47,032495;18,114859;Balatonfűzfő;47,051409;18,053941;
52;3,4;Balatonfűzfő;47,051409;18,053941;Tobruk ;47,055689;18,030932;KNORR BREMSE
53;3;Tobruk ;47,055689;18,030932;Balatonalmádi kelet;47,041019;18,019251;MANNA ABC
54;3;Balatonalmádi kelet;47,041019;18,019251;Balatonalmádi nyugat;47,026394;18,012523;
55;5,9;Balatonalmádi nyugat;47,026394;18,012523;Alsóörs;46,985194;17,977927;RAVATHERM
56;4,8;Alsóörs;46,985194;17,977927;Csopak;46,969434;17,935622;MIDEA
57;4,2;Csopak;46,969434;17,935622;Balatonfüred kelet;46,958279;17,911546;
58;3,5;Balatonfüred kelet;46,958279;17,911546;Rajt;46,948072;17,872582;ANNAGORA AQUAPARK
